TenHuyen,TinhId,HuyenId
Ba Đình,101,10101
Tây Hồ,101,10103
Hoàn Kiếm,101,10105
Hai Bà Trưng,101,10107
Hoàng Mai,101,10108
Đống Đa,101,10109
Thanh Xuân,101,10111
Cầu Giấy,101,10113
Long Biên,101,10114
Sóc Sơn,101,10115
Đông Anh,101,10117
Gia Lâm,101,10119
Bắc Từ Liêm,101,10121
Thanh Trì,101,10123
Hà Đông,101,10125
Thị Xã Sơn Tây,101,10127
Ba Vì,101,10129
Phúc Thọ,101,10131
Đan Phượng,101,10133
Thạch Thất,101,10135
Hoài Đức,101,10137
Quốc Oai,101,10139
Chương Mỹ,101,10141
Thanh Oai,101,10143
Thường Tín,101,10145
Mỹ Đức,101,10147
Ứng Hòa,101,10149
Phú Xuyên,101,10151
Mê Linh,101,10153
Nam Từ Liêm,101,10154
Hồng Bàng,103,10301
Ngô Quyền,103,10303
Lê Chân,103,10305
Kiến An,103,10307
Đồ Sơn,103,10309
Dương Kinh,103,10310
Thủy Nguyên,103,10311
An Dương,103,10313
Hải An,103,10314
An Lão,103,10315
Kiến Thụy,103,10317
Tiên Lãng,103,10319
Vĩnh Bảo,103,10321
Cát Hải,103,10323
Bạch Long Vĩ,103,10325
Thành phố Vĩnh Yên,104,10401
Thị xã Phúc Yên,104,10402
Lập Thạch,104,10403
Tam Đảo,104,10404
Tam Dương,104,10405
Bình Xuyên,104,10406
Vĩnh Tường,104,10407
Yên Lạc,104,10409
Sông Lô,104,10410
Thành phố Bắc Ninh,106,10601
Yên Phong,106,10603
Quế Võ,106,10605
Tiên Du,106,10607
Thị Xã Từ Sơn,106,10608
Thuận Thành,106,10609
Lương Tài,106,10611
Gia Bình,106,10612
Thành phố Hải Dương,107,10701
Thị Xã Chí Linh,107,10703
Nam Sách,107,10705
Thanh Hà,107,10707
Kinh Môn,107,10709
Kim Thành,107,10711
Gia Lộc,107,10713
Tứ Kỳ,107,10715
Cẩm Giàng,107,10717
Bình Giang,107,10719
Thanh Miện,107,10721
Ninh Giang,107,10723
Thành phố Hưng Yên,109,10901
Văn Lâm,109,10902
Mỹ Hào,109,10903
Yên Mỹ,109,10904
Văn Giang,109,10905
Khoái Châu,109,10906
Ân Thi,109,10907
Kim Động,109,10909
Phù Cừ,109,10911
Tiên Lữ,109,10913
Thành phố Phủ Lý,111,11101
Duy Tiên,111,11103
Kim Bảng,111,11105
Lý Nhân,111,11107
Thanh Liêm,111,11109
Bình Lục,111,11111
Thành phố Nam Định,113,11301
Vụ Bản,113,11303
Mỹ Lộc,113,11305
Ý Yên,113,11307
Nam Trực,113,11309
Trực Ninh,113,11311
Xuân Trường,113,11313
Giao Thủy,113,11315
Nghĩa Hưng,113,11317
Hải Hậu,113,11319
Thành phố Thái Bình,115,11501
Quỳnh Phụ,115,11503
Hưng Hà,115,11505
Thái Thụy,115,11507
Đông Hưng,115,11509
Vũ Thư,115,11511
Kiến Xương,115,11513
Tiền Hải,115,11515
Thành phố Ninh Bình,117,11701
Thành Phố Tam Điệp,117,11703
Nho Quan,117,11705
Gia Viễn,117,11707
Hoa Lư,117,11709
Yên Mô,117,11711
Yên Khánh,117,11713
Kim Sơn,117,11715
Thành phố Hà Giang,201,20101
Đồng Văn,201,20103
Mèo Vạc,201,20105
Yên Minh,201,20107
Quản Bạ,201,20109
Bắc Mê,201,20111
Hoàng Su Phì,201,20113
Vị Xuyên,201,20115
Xín Mần,201,20117
Bắc Quang,201,20119
Quang Bình,201,20120
Thành phố Cao Bằng,203,20301
Bảo Lạc,203,20303
Bảo Lâm,203,20304
Hà Quảng,203,20305
Thông Nông,203,20307
Trà Lĩnh,203,20309
Trùng Khánh,203,20311
Nguyên Bình,203,20313
Hòa An,203,20315
Quảng Uyên,203,20317
Phục Hòa,203,20318
Hạ Lang,203,20319
Thạch An,203,20321
Thành phố Lào Cai,205,20501
Mường Khương,205,20505
Bát Xát,205,20507
Si Ma Cai,205,20508
Bắc Hà,205,20509
Bảo Thắng,205,20511
Sa Pa,205,20513
Bảo Yên,205,20515
Văn Bàn,205,20519
Thành phố Bắc Kạn,207,20701
Ba Bể,207,20703
Pác Nặm,207,20704
Ngân Sơn,207,20705
Chợ Đồn,207,20707
Na Rì,207,20709
Bạch Thông,207,20711
Chợ Mới,207,20712
Thành phố Lạng Sơn,209,20901
Tràng Định,209,20903
Văn Lãng,209,20905
Bình Gia,209,20907
Bắc Sơn,209,20909
Văn Quan,209,20911
Cao Lộc,209,20913
Lộc Bình,209,20915
Chi Lăng,209,20917
Đình Lập,209,20919
Hữu Lũng,209,20921
Thành phố Tuyên Quang,211,21101
Lâm Bình,211,21102
Na Hang,211,21103
Chiêm Hóa,211,21105
Hàm Yên,211,21107
Yên Sơn,211,21109
Sơn Dương,211,21111
Thành phố Yên Bái,213,21301
Thị xã Nghĩa Lộ,213,21303
Lục Yên,213,21305
Văn Yên,213,21307
Mù Cang Chải,213,21309
Trấn Yên,213,21311
Yên Bình,213,21313
Văn Chấn,213,21315
Trạm Tấu,213,21317
Thành phố Thái Nguyên,215,21501
Thành phố Sông Công,215,21503
Định Hóa,215,21505
Võ Nhai,215,21507
Phú Lương,215,21509
Đồng Hỷ,215,21511
Phú Bình,215,21515
Phổ Yên,215,21517
Đại Từ,215,21518
Thành phố Việt Trì,217,21701
Thị xã Phú Thọ,217,21703
Đoan Hùng,217,21705
Hạ Hòa,217,21707
Thanh Ba,217,21709
Phù Ninh,217,21711
Lâm Thao,217,21712
Cẩm Khê,217,21713
Yên Lập,217,21715
Tam Nông,217,21717
Thanh Thủy,217,21718
Thanh Sơn,217,21719
Tân Sơn,217,21720
Thành phố Bắc Giang,221,22101
Yên Thế,221,22103
Tân Yên,221,22105
Lục Ngạn,221,22107
Hiệp Hòa,221,22109
Lạng Giang,221,22111
Sơn Động,221,22113
Lục Nam,221,22115
Việt Yên,221,22117
Yên Dũng,221,22119
Thành phố Hạ Long,225,22501
Thành phố Cẩm Phả,225,22503
Thành phố Uông Bí,225,22505
Thành phố Móng Cái,225,22506
Bình Liêu,225,22507
Hải Hà,225,22511
Đầm Hà,225,22512
Tiên Yên,225,22513
Ba Chẽ,225,22515
Vân Đồn,225,22517
Hoành Bồ,225,22519
Đông Triều,225,22521
Cô Tô,225,22523
Thị Xã Quảng Yên,225,22525
Thành phố Lai Châu,301,30103
Mường Tè,301,30105
Phong Thổ,301,30107
Tam Đường,301,30108
Sìn Hồ,301,30109
Than Uyên,301,30117
Tân Uyên,301,30118
Nậm Nhùn,301,30120
Thành phố Điện Biên Phủ,302,30201
Thị xã Mường Lay,302,30203
Mường Nhé,302,30204
Mường Chà,302,30211
Tủa Chùa,302,30213
Tuần Giáo,302,30215
Mường Ảng,302,30216
Điện Biên,302,30217
Điện Biên Đông,302,30219
Nậm Pồ,302,30220
Thành phố Sơn La,303,30301
Quỳnh Nhai,303,30303
Mường La,303,30305
Thuận Châu,303,30307
Bắc Yên,303,30309
Phù Yên,303,30311
Mai Sơn,303,30313
Sông Mã,303,30315
Sốp Cộp,303,30316
Yên Châu,303,30317
Mộc Châu,303,30319
Vân Hồ,303,30320
Thành phố Hòa Bình,305,30501
Đà Bắc,305,30503
Mai Châu,305,30505
Kỳ Sơn,305,30507
Lương Sơn,305,30509
Cao Phong,305,30510
Kim Bôi,305,30511
Tân Lạc,305,30513
Lạc Sơn,305,30515
Lạc Thủy,305,30517
Yên Thủy,305,30519
Thành phố Thanh Hóa,401,40101
Thị xã Bỉm Sơn,401,40103
Thành phố Sầm Sơn,401,40105
Mường Lát,401,40107
Quan Hóa,401,40109
Quan Sơn,401,40111
Bá Thước,401,40113
Cẩm Thủy,401,40115
Lang Chánh,401,40117
Thạch Thành,401,40119
Ngọc Lặc,401,40121
Thường Xuân,401,40123
Như Xuân,401,40125
Như Thanh,401,40127
Vĩnh Lộc,401,40129
Hà Trung,401,40131
Nga Sơn,401,40133
Yên Định,401,40135
Thọ Xuân,401,40137
Hậu Lộc,401,40139
Thiệu Hóa,401,40141
Hoằng Hóa,401,40143
Đông Sơn,401,40145
Triệu Sơn,401,40147
Quảng Xương,401,40149
Nông Cống,401,40151
Tĩnh Gia,401,40153
Thành phố Vinh,403,40301
Thị xã Cửa Lò,403,40303
Quế Phong,403,40305
Quỳ Châu,403,40307
Kỳ Sơn,403,40309
Quỳ Hợp,403,40311
Nghĩa Đàn,403,40313
Thị xã Thái Hòa,403,40314
Tương Dương,403,40315
Quỳnh Lưu,403,40317
Tân Kỳ,403,40319
Con Cuông,403,40321
Yên Thành,403,40323
Diễn Châu,403,40325
Anh Sơn,403,40327
Đô Lương,403,40329
Thanh Chương,403,40331
Nghi Lộc,403,40333
Nam Đàn,403,40335
Hưng Nguyên,403,40337
Thị xã Hoàng Mai,403,40338
Thành phố Hà Tĩnh,405,40501
Thị xã Hồng Lĩnh,405,40503
Nghi Xuân,405,40505
Đức Thọ,405,40507
Hương Sơn,405,40509
Vũ Quang,405,40510
Can Lộc,405,40511
Lộc Hà,405,40512
Thạch Hà,405,40513
Cẩm Xuyên,405,40515
Hương Khê,405,40517
Kỳ Anh,405,40519
Thị xã Kỳ Anh,405,40520
Thành phố Đồng Hới,407,40701
Tuyên Hóa,407,40703
Minh Hóa,407,40705
Quảng Trạch,407,40707
Bố Trạch,407,40709
Quảng Ninh,407,40711
Lệ Thủy,407,40713
TX Ba Đồn,407,40714
Thành Phố Đông Hà,409,40901
Thị xã Quảng Trị,409,40903
Vĩnh Linh,409,40905
Cồn Cỏ,409,40906
Gio Linh,409,40907
Cam Lộ,409,40909
Triệu Phong,409,40911
Hải Lăng,409,40913
Hướng Hóa,409,40915
Đa Krông,409,40917
Thành phố Huế,411,41101
Phong Điền,411,41103
Quảng Điền,411,41105
Thị xã Hương Trà,411,41107
Phú Vang,411,41109
Thị xã Hương Thủy,411,41111
Phú Lộc,411,41113
A Lưới,411,41115
Nam Đông,411,41117
Hải Châu,501,50101
Thanh Khê,501,50103
Sơn Trà,501,50105
Ngũ Hành Sơn,501,50107
Liên Chiểu,501,50109
Cẩm Lệ,501,50112
Hòa Vang,501,50113
Hoàng Sa,501,50114
