TenXa,HuyenId
Phúc Xá,10101
Nguyễn Trung Trực,10101
Quán Thánh,10101
Trúc Bạch,10101
Điện Biên,10101
Kim Mã,10101
Đội Cấn,10101
Liễu Giai,10101
Cống Vị,10101
Vĩnh Phúc,10101
Ngọc Khánh,10101
Giảng Võ,10101
Ngọc Hà,10101
Thành Công,10101
Bưởi,10103
Thuỵ Khuê,10103
Yên Phụ,10103
Tứ Liên,10103
Nhật Tân,10103
Quảng An,10103
Xuân La,10103
Phú Thượng,10103
Cửa Nam,10105
Trần Hưng Đạo,10105
Hàng Bài,10105
Phan Chu Trinh,10105
Tràng Tiền,10105
Hàng Bạc,10105
Lý Thái Tổ,10105
Hàng Buồm,10105
Đồng Xuân,10105
Hàng Đào,10105
Hàng Mã,10105
Hàng Bồ,10105
Cửa Đông,10105
Hàng Bông,10105
Hàng Gai,10105
Hàng Trống,10105
Phúc Tân,10105
Chương Dương,10105
Nguyễn Du,10107
Lê Đại Hành,10107
Bùi Thị Xuân,10107
Phố Huế,10107
Ngô Thì Nhậm,10107
Phạm Đình Hồ,10107
Đồng Nhân,10107
Đống Mác,10107
Bạch Đằng,10107
Thanh Lương,10107
Thanh Nhàn,10107
Cầu Dền,10107
Bách Khoa,10107
Bạch Mai,10107
Quỳnh Lôi,10107
Quỳnh Mai,10107
Vĩnh Tuy,10107
Minh Khai,10107
Trương Định,10107
Đồng Tâm,10107
Tương Mai,10108
Giáp Bát,10108
Mai Động,10108
Tân Mai,10108
Hoàng Văn Thụ,10108
Thịnh Liệt,10108
Định Công,10108
Đại Kim,10108
Vĩnh Hưng,10108
Lĩnh Nam,10108
Hoàng Liệt,10108
Yên Sở,10108
Trần Phú,10108
Thanh Trì,10108
Văn Miếu,10109
Cát Linh,10109
Quốc Tử Giám,10109
Văn Chương,10109
Hàng Bột,10109
Ô Chợ Dừa,10109
Nam Đồng,10109
Quang Trung,10109
Trung Liệt,10109
Thổ Quan,10109
Khâm Thiên,10109
Trung Phụng,10109
Phương Liên,10109
Kim Liên,10109
Phương Mai,10109
Trung Tự,10109
Khương Thượng,10109
Thịnh Quang,10109
Ngã Tư Sở,10109
Láng Hạ,10109
Láng Thượng,10109
Nhân Chính,10111
Khương Trung,10111
Khương Mai,10111
Phương Liệt,10111
Thượng Đình,10111
Thanh Xuân Trung,10111
Khương Đình,10111
Hạ Đình,10111
Thanh Xuân Bắc,10111
Thanh Xuân Nam,10111
Kim Giang,10111
Nghĩa Đô,10113
Nghĩa Tân,10113
Quan Hoa,10113
Mai Dịch,10113
Dịch Vọng,10113
Dịch Vọng Hậu,10113
Yên Hòa,10113
Trung Hòa,10113
Gia Thụy,10114
Ngọc Lâm,10114
Đức Giang,10114
Việt Hưng,10114
Ngọc Thụy,10114
Thượng Thạnh,10114
Bồ Đề,10114
Giang Biên,10114
Phúc Đồng,10114
Phúc Lợi,10114
Long Biên,10114
Sài Đồng,10114
Thạch Bàn,10114
Cự Khối,10114
Thị trấn Sóc Sơn,10115
Tân Dân,10115
Thanh Xuân,10115
Minh Trí,10115
Minh Phú,10115
Hiền Ninh,10115
Quang Tiến,10115
Phú Cường,10115
Phú Minh,10115
Mai Đình,10115
Phù Lỗ,10115
Đông Xuân,10115
Nam Sơn,10115
Bắc Sơn,10115
Hồng Kỳ,10115
Trung Giã,10115
Tân Hưng,10115
Bắc Phú,10115
Việt Long,10115
Xuân Giang,10115
Đức Hòa,10115
Xuân Thu,10115
Kim Lũ,10115
Phù Linh,10115
Tân Minh,10115
Tiên Dược,10115
Thị trấn Đông Anh,10117
Xuân Nộn,10117
Nguyên Khê,10117
Uy Nỗ,10117
Cổ Loa,10117
Tiên Dương,10117
Nam Hồng,10117
Bắc Hồng,10117
Vân Nội,10117
Kim Nỗ,10117
Kim Chung,10117
Đại Mạch,10117
Võng La,10117
Hải Bối,10117
Liên Hà,10117
Vân Hà,10117
Dục Tú,10117
Thụy Lâm,10117
Việt Hùng,10117
Mai Lâm,10117
Đông Hội,10117
Xuân Canh,10117
Tàm Xá,10117
Vĩnh Ngọc,10117
Bát Tràng,10119
Lệ Chi,10119
Đình Xuyên,10119
Ninh Hiệp,10119
Phù Đổng,10119
Trung Mầu,10119
Dương Hà,10119
Yên Thường,10119
Thị trấn Yên Viên,10119
Kim Lan,10119
Cổ Bi,10119
Thị trấn Trâu Quỳ,10119
Đa Tốn,10119
Dương Xá,10119
Kiêu Kỵ,10119
Văn Đức,10119
Đông Dư,10119
Dương Quang,10119
Phú Thị,10119
Đặng Xá,10119
Kim Sơn,10119
Yên Viên,10119
Tây Tựu,10121
Phú Diễn,10121
Phúc Diễn,10121
Minh Khai,10121
Thượng Cát,10121
Liên Mạc,10121
Thuỵ Phương,10121
Đông Ngạc,10121
Đức Thắng,10121
Xuân Đỉnh,10121
Xuân Tảo,10121
